[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep 25750 | dynL 0.288 polR -1.947e+01 | train C 1.92e-03 S 0.007 | EVAL C 1.876e-03 S 0.0071 | buf 200000 | 42532s
ep 26000 | dynL 0.289 polR -1.979e+01 | train C 1.88e-03 S 0.014 | EVAL C 1.815e-03 S 0.0112 | buf 200000 | 42944s
ep 26250 | dynL 0.289 polR -2.230e+01 | train C 1.38e-03 S 0.007 | EVAL C 1.501e-03 S 0.0071 | buf 200000 | 43357s
ep 26500 | dynL 0.289 polR -2.190e+01 | train C 1.65e-03 S 0.008 | EVAL C 1.668e-03 S 0.0068 | buf 200000 | 43764s
ep 26750 | dynL 0.287 polR -2.238e+01 | train C 1.79e-03 S 0.008 | EVAL C 1.618e-03 S 0.0076 | buf 200000 | 44182s
ep 27000 | dynL 0.287 polR -2.167e+01 | train C 1.49e-03 S 0.006 | EVAL C 1.585e-03 S 0.0068 | buf 200000 | 44577s
ep 27250 | dynL 0.288 polR -2.204e+01 | train C 1.81e-03 S 0.010 | EVAL C 1.377e-03 S 0.0081 | buf 200000 | 44997s
ep 27500 | dynL 0.287 polR -2.133e+01 | train C 1.61e-03 S 0.013 | EVAL C 1.887e-03 S 0.0132 | buf 200000 | 45423s
ep 27750 | dynL 0.288 polR -2.161e+01 | train C 1.74e-03 S 0.007 | EVAL C 1.723e-03 S 0.0118 | buf 200000 | 45857s
ep 28000 | dynL 0.289 polR -2.011e+01 | train C 1.52e-03 S 0.016 | EVAL C 1.567e-03 S 0.0103 | buf 200000 | 46281s
ep 28250 | dynL 0.288 polR -1.802e+01 | train C 1.77e-03 S 0.010 | EVAL C 1.782e-03 S 0.0101 | buf 200000 | 46686s
ep 28500 | dynL 0.289 polR -2.099e+01 | train C 1.59e-03 S 0.014 | EVAL C 1.816e-03 S 0.0123 | buf 200000 | 47110s
ep 28750 | dynL 0.289 polR -2.119e+01 | train C 1.31e-03 S 0.011 | EVAL C 1.689e-03 S 0.0115 | buf 200000 | 47536s
ep 29000 | dynL 0.289 polR -1.943e+01 | train C 1.93e-03 S 0.010 | EVAL C 1.663e-03 S 0.0115 | buf 200000 | 47954s
ep 29250 | dynL 0.289 polR -1.948e+01 | train C 1.49e-03 S 0.008 | EVAL C 1.631e-03 S 0.0115 | buf 200000 | 48376s
ep 29500 | dynL 0.288 polR -1.622e+01 | train C 2.01e-03 S 0.014 | EVAL C 1.716e-03 S 0.0113 | buf 200000 | 48817s
ep 29750 | dynL 0.287 polR -1.811e+01 | train C 1.72e-03 S 0.011 | EVAL C 1.797e-03 S 0.0126 | buf 200000 | 49250s
ep 30000 | dynL 0.285 polR -2.158e+01 | train C 1.77e-03 S 0.012 | EVAL C 1.781e-03 S 0.0109 | buf 200000 | 49681s
[po4ncpa] done in 49681s
=== PO4NCPA STREHL DONE ===
