name, memory.total [MiB]
NVIDIA A100-PCIE-40GB, 40960 MiB
=== PO4NCPA LOG-REWARD FROM SCRATCH (static): episodes=120000 ===
[infogain] correction scale min 2.52e-09 max 4.65e-08 | probe scale (x0.1) min 2.52e-10 max 4.65e-09 | modes=55 action=110
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.3 explore_std_final=0.02
ep 27468 | dynL 0.355 polR 5.704e-01 info 1.423e-01 | train C 2.73e-05 S 0.996 | EVAL C 2.994e-06 S 0.9989 | buf 200000 | 14030s
ep 27720 | dynL 0.353 polR 6.129e-01 info 1.067e-01 | train C 3.42e-05 S 0.993 | EVAL C 2.687e-06 S 0.9990 | buf 200000 | 14167s
ep 27972 | dynL 0.355 polR 6.823e-01 info 8.003e-02 | train C 3.82e-05 S 0.993 | EVAL C 2.513e-06 S 0.9989 | buf 200000 | 14304s
ep 28224 | dynL 0.353 polR 6.263e-01 info 8.706e-02 | train C 2.72e-05 S 0.996 | EVAL C 2.681e-06 S 0.9989 | buf 200000 | 14441s
ep 28476 | dynL 0.349 polR 6.017e-01 info 1.159e-01 | train C 5.38e-05 S 0.989 | EVAL C 2.465e-06 S 0.9990 | buf 200000 | 14577s
ep 28728 | dynL 0.350 polR 6.693e-01 info 8.273e-02 | train C 2.60e-05 S 0.995 | EVAL C 2.654e-06 S 0.9989 | buf 200000 | 14714s
ep 28980 | dynL 0.348 polR 6.908e-01 info 9.119e-02 | train C 2.28e-05 S 0.997 | EVAL C 2.351e-06 S 0.9989 | buf 200000 | 14851s
ep 29232 | dynL 0.347 polR 6.517e-01 info 1.009e-01 | train C 2.96e-05 S 0.994 | EVAL C 2.342e-06 S 0.9989 | buf 200000 | 14988s
ep 29484 | dynL 0.343 polR 7.015e-01 info 1.136e-01 | train C 6.04e-05 S 0.992 | EVAL C 2.190e-06 S 0.9987 | buf 200000 | 15126s
ep 29736 | dynL 0.345 polR 7.397e-01 info 7.584e-02 | train C 3.96e-05 S 0.994 | EVAL C 2.169e-06 S 0.9987 | buf 200000 | 15263s
ep 29988 | dynL 0.344 polR 6.430e-01 info 1.480e-01 | train C 4.38e-05 S 0.988 | EVAL C 2.259e-06 S 0.9987 | buf 200000 | 15399s
[infogain] saved replay buffer (200000 transitions) -> logs/po4ncpa_probe_logscratch/replay_buffer.npz (5.0s)
ep 30240 | dynL 0.343 polR 7.539e-01 info 1.088e-01 | train C 2.63e-05 S 0.993 | EVAL C 2.019e-06 S 0.9987 | buf 200000 | 15540s
ep 30492 | dynL 0.344 polR 7.089e-01 info 1.196e-01 | train C 5.09e-05 S 0.986 | EVAL C 1.994e-06 S 0.9986 | buf 200000 | 15676s
ep 30744 | dynL 0.342 polR 7.306e-01 info 1.107e-01 | train C 3.69e-05 S 0.991 | EVAL C 1.968e-06 S 0.9987 | buf 200000 | 15813s
ep 30996 | dynL 0.342 polR 7.180e-01 info 1.272e-01 | train C 5.09e-05 S 0.989 | EVAL C 1.822e-06 S 0.9987 | buf 200000 | 15949s
ep 31248 | dynL 0.340 polR 7.574e-01 info 1.013e-01 | train C 4.28e-05 S 0.995 | EVAL C 1.741e-06 S 0.9988 | buf 200000 | 16086s
ep 31500 | dynL 0.342 polR 7.629e-01 info 1.051e-01 | train C 3.88e-05 S 0.993 | EVAL C 1.680e-06 S 0.9988 | buf 200000 | 16223s
ep 31752 | dynL 0.343 polR 7.377e-01 info 1.021e-01 | train C 3.59e-05 S 0.990 | EVAL C 1.711e-06 S 0.9989 | buf 200000 | 16360s
ep 32004 | dynL 0.340 polR 7.473e-01 info 1.157e-01 | train C 2.83e-05 S 0.992 | EVAL C 1.628e-06 S 0.9988 | buf 200000 | 16496s
ep 32256 | dynL 0.337 polR 7.560e-01 info 1.220e-01 | train C 1.78e-05 S 0.994 | EVAL C 1.459e-06 S 0.9989 | buf 200000 | 16633s
ep 32508 | dynL 0.338 polR 7.535e-01 info 1.134e-01 | train C 3.10e-05 S 0.994 | EVAL C 1.477e-06 S 0.9989 | buf 200000 | 16769s
ep 32760 | dynL 0.342 polR 7.713e-01 info 1.348e-01 | train C 5.35e-05 S 0.992 | EVAL C 1.451e-06 S 0.9989 | buf 200000 | 16907s
ep 33012 | dynL 0.339 polR 7.933e-01 info 1.086e-01 | train C 4.12e-05 S 0.993 | EVAL C 1.268e-06 S 0.9990 | buf 200000 | 17044s
ep 33264 | dynL 0.341 polR 8.429e-01 info 9.150e-02 | train C 2.20e-05 S 0.995 | EVAL C 1.244e-06 S 0.9990 | buf 200000 | 17180s
ep 33516 | dynL 0.337 polR 8.707e-01 info 8.954e-02 | train C 5.85e-05 S 0.990 | EVAL C 1.258e-06 S 0.9989 | buf 200000 | 17317s
ep 33768 | dynL 0.339 polR 8.353e-01 info 1.004e-01 | train C 2.35e-05 S 0.995 | EVAL C 1.258e-06 S 0.9990 | buf 200000 | 17453s
ep 34020 | dynL 0.338 polR 8.211e-01 info 9.847e-02 | train C 1.98e-05 S 0.997 | EVAL C 1.244e-06 S 0.9990 | buf 200000 | 17590s
ep 34272 | dynL 0.338 polR 6.898e-01 info 1.845e-01 | train C 3.65e-05 S 0.995 | EVAL C 1.065e-06 S 0.9991 | buf 200000 | 17727s
ep 34524 | dynL 0.340 polR 8.432e-01 info 9.039e-02 | train C 3.94e-05 S 0.994 | EVAL C 1.107e-06 S 0.9992 | buf 200000 | 17865s
ep 34776 | dynL 0.337 polR 7.942e-01 info 1.224e-01 | train C 3.92e-05 S 0.993 | EVAL C 1.187e-06 S 0.9992 | buf 200000 | 18001s
ep 35028 | dynL 0.338 polR 8.545e-01 info 9.927e-02 | train C 3.08e-05 S 0.995 | EVAL C 1.235e-06 S 0.9992 | buf 200000 | 18137s
ep 35280 | dynL 0.338 polR 9.192e-01 info 9.043e-02 | train C 1.63e-05 S 0.997 | EVAL C 1.063e-06 S 0.9993 | buf 200000 | 18274s
ep 35532 | dynL 0.335 polR 7.688e-01 info 2.054e-01 | train C 3.11e-05 S 0.994 | EVAL C 8.903e-07 S 0.9993 | buf 200000 | 18411s
ep 35784 | dynL 0.336 polR 8.321e-01 info 1.310e-01 | train C 4.87e-05 S 0.992 | EVAL C 1.031e-06 S 0.9993 | buf 200000 | 18547s
ep 36036 | dynL 0.335 polR 8.748e-01 info 1.256e-01 | train C 8.13e-06 S 0.998 | EVAL C 8.690e-07 S 0.9993 | buf 200000 | 18684s
ep 36288 | dynL 0.337 polR 8.350e-01 info 1.155e-01 | train C 1.30e-05 S 0.998 | EVAL C 1.026e-06 S 0.9994 | buf 200000 | 18821s
ep 36540 | dynL 0.332 polR 9.024e-01 info 1.122e-01 | train C 3.61e-05 S 0.993 | EVAL C 8.694e-07 S 0.9993 | buf 200000 | 18957s
ep 36792 | dynL 0.335 polR 7.942e-01 info 1.857e-01 | train C 2.87e-05 S 0.997 | EVAL C 7.736e-07 S 0.9994 | buf 200000 | 19094s
ep 37044 | dynL 0.334 polR 8.788e-01 info 1.632e-01 | train C 2.63e-05 S 0.996 | EVAL C 7.260e-07 S 0.9994 | buf 200000 | 19231s
